Kanji,Hiragana,English,Tags
日,にち,day
本,ほん,book
人,ひと,person
一,いち,one
二,に,two
三,さん,three
四,し,four
五,ご,five
六,ろく,six
七,しち,seven
八,はち,eight
九,きゅう,nine
十,じゅう,ten
百,ひゃく,hundred
千,せん,thousand
万,まん,ten thousand
円,えん,yen
時,じ,time
分,ふん,minute
秒,びょう,second
年,ねん,year
月,がつ,month
日,にち,day
週,しゅう,week
今,いま,now
